Potential energy data
X 71 Y 71 
   -4399     -4176     -4023     -3928     -3879     -3867     -3883
   -3921     -3974     -4037     -4108     -4183     -4260     -4337
   -4412     -4486     -4556     -4623     -4687     -4747     -4803
   -4856     -4905     -4950     -4992     -5030     -5066     -5099
   -5129     -5156     -5182     -5205     -5226     -5246     -5263
   -5279     -5294     -5307     -5320     -5331     -5341     -5350
   -5359     -5366     -5373     -5380     -5385     -5391     -5395
   -5400
 
   -3732     -9094    -12988    -15505    -16906    -17440    -17323
  -16731    -15806    -14664    -13397    -12077    -10759     -9489
   -8298     -7208     -6236     -5388     -4665     -4065     -3580
   -3198     -2908     -2697     -2552     -2461     -2413     -2400
   -2414     -2446     -2494     -2551     -2615     -2682     -2751
   -2821     -2889     -2955     -3019     -3080     -3137     -3191
   -3242     -3289     -3333     -3374     -3412     -3447     -3479
   -3509     -3536     -3561     -3583     -3604     -3623     -3641
   -3657     -3671     -3685     -3697     -3708     -3718     -3727
   -3735     -3743     -3750     -3756     -3762     -3767     -3772
   -3776
 
   -3754     -9275    -13207    -15724    -17105    -17608    -17450
  -16811    -15833    -14631    -13297    -11903    -10506     -9149
   -7867     -6682     -5612     -4665     -3846     -3154     -2581
   -2120     -1758     -1485     -1285     -1148     -1062     -1016
   -1003     -1013     -1042     -1085     -1136     -1193     -1254
   -1317     -1379     -1441     -1501     -1558     -1613     -1665
   -1714     -1760     -1802     -1842     -1879     -1913     -1945
   -1974     -2000     -2025     -2047     -2068     -2087     -2104
   -2120     -2134     -2147     -2159     -2170     -2180     -2189
   -2197     -2205     -2212     -2218     -2224     -2229     -2233
   -2238
 
   -3847     -9490    -13450    -15963    -17325    -17800    -17608
  -16927    -15903    -14649    -13257    -11799    -10332     -8900
   -7536     -6265     -5104     -4065     -3154     -2370     -1710
   -1167      -732      -391      -134        53       182       263
     307       321       312       287       249       203       151
      96        40       -17       -72      -126      -178      -228
    -275      -319      -360      -399      -435      -468      -499
    -527      -554      -578      -600      -620      -639      -656
    -671      -685      -698      -710      -721      -731      -740
    -748      -756      -762      -768      -774      -779      -784
    -788
 
   -3994     -9729    -13709    -16217    -17561    -18011    -17788
  -17072    -16008    -14709    -13267    -11755    -10227     -8729
   -7294     -5946     -4704     -3580     -2581     -1710      -965
    -341       171       580       899      1140      1315      1435
    1512      1553      1567      1560      1538      1504      1463
    1416      1366      1316      1265      1214      1165      1118
    1074      1031       991       954       919       887       857
     829       803       779       758       738       719       703
     687       673       660       649       638       628       619
     611       604       597       591       585       580       576
     571
 
   -4179     -9984    -13977    -16478    -17806    -18234    -17984
  -17238    -16139    -14802    -13318    -11759    -10180     -8625
   -7128     -5713     -4399     -3198     -2120     -1167      -341
     363       951      1431      1814      2111      2336      2499
    2611      2683      2722      2735      2730      2710      2680
    2643      2601      2556      2510      2464      2419      2374
    2332      2291      2253      2217      2183      2152      2122
    2095      2070      2047      2026      2006      1988      1971
    1956      1942      1929      1918      1907      1898      1889
    1881      1873      1867      1861      1855      1850      1846
    1841
 
   -4390    -10246    -14248    -16741    -18054    -18463    -18190
  -17418    -16290    -14920    -13400    -11801    -10179     -8576
   -7026     -5553     -4176     -2908     -1758      -732       171
     951      1612      2163      2611      2968      3246      3454
    3606      3710      3777      3813      3827      3822      3805
    3778      3744      3706      3666      3625      3583      3542
    3502      3463      3427      3392      3360      3329      3301
    3274      3249      3227      3206      3186      3169      3152
    3137      3124      3111      3100      3089      3080      3071
    3063      3056      3049      3043      3037      3032      3028
    3024
 
   -4617    -10511    -14516    -17002    -18302    -18694    -18401
  -17606    -16453    -15056    -13506    -11874    -10215     -8571
   -6976     -5454     -4023     -2697     -1485      -391       580
    1431      2163      2782      3296      3714      4046      4303
    4496      4637      4734      4795      4830      4842      4839
    4823      4799      4769      4735      4698      4661      4623
    4586      4550      4515      4482      4451      4421      4394
    4368      4344      4322      4301      4282      4265      4249
    4234      4220      4208      4197      4186      4177      4168
    4160      4153      4146      4140      4135      4130      4125
    4121
 
   -4852    -10773    -14780    -17258    -18546    -18923    -18613
  -17799    -16625    -15204    -13629    -11968    -10278     -8600
   -6968     -5404     -3928     -2552     -1285      -134       899
    1814      2611      3296      3873      4351      4739      5047
    5285      5464      5594      5684      5741      5773      5785
